Chamber,Name,"Date Started",Party,"District #","District Description",Sex,E-Mail,Website,"Place Name",Longitude,Latitude,"LIS ID 1","LIS ID 2","RS ID","SBE ID"
senate,"Stuart, Richard",2008-01-09,R,28,"King George County (Part), Prince William County (Part), Spotsylvania County (Part), Stafford County (Part), Westmoreland County (Part)",male,richard@stuartforsenate.com,http://www.stuartforsenate.com/,Westmoreland,38.093,-76.823,stuart,78,rhstuart,CC-12-00084
house,"Subramanyam, Suhas",0000-00-00,D,87,"Counties of Loudoun (part) and Prince William (part)",male,DelSSubramanyam@house.virginia.gov,https://suhasforvirginia.com/,Sterling,39,-77.43,subramanyam,324,ssubramanyam,CC-18-00455
senate,"Suetterlein, David",2016-01-13,R,19,"Floyd County (All), Salem City (All), Bedford County (Part), Carroll County (Part), Franklin County (Part), Montgomery County (Part), Roanoke County (Part), Wythe County (Part)",male,district19@senate.virginia.gov,http://suetterlein.nationbuilder.com/,Salem,37.2869,-80.0558,suetterlein,101,drsuetterlein,
house,"Sullivan, Rip",2014-09-12,D,48,"Counties of Arlington (part) and Fairfax (part)",male,DelRSullivan@house.virginia.gov,http://www.ripsullivan.com/,"Arlington, VA",38.8803,-77.1083,sullivan,269,rcsullivan,
senate,"Surovell, Scott",2016-01-13,D,36,"Fairfax County (Part), Prince William County (Part), Stafford County (Part)",male,district36@senate.virginia.gov,http://www.scottsurovell.org/,Fairfax,38.725,-77.107,surovell,100,sasurovell,CC-12-01093
house,"Tata, Anne Ferrell",2022-01-12,D,82,"City of Virginia Beach (part)",male,delaftata@house.virginia.gov,https://teamtata.org/,"Virginia Beach",-76.03,36.89,tata,345,aftata,
house,"Taylor, Kim",2022-01-12,R,63,"Counties of Chesterfield (part), Dinwiddie (part), and Prince George (part); Cities of Hopewell (part) and Petersburg",female,delktaylor@house.virginia.gov,https://kimtaylorva.com/,Dinwiddie,-77.58,37.08,taylor,346,kataylor,
house,"Torian, Luke",2010-01-13,D,52,"County of Prince William (part)",male,"DelLTorian@house.virginia.gov ",http://www.delegatetorian.com/,Woodbridge,0,0,torian,227,letorian,CC-12-00293
house,"Tran, Kathy",2018-01-10,D,42,"County of Fairfax (part)",female,DelKTran@house.virginia.gov,https://www.kathyfordelegate.com/,Springfield,38.79,-77.23,tran,305,kkltran,
house,"VanValkenburg, Schuyler",2018-01-10,D,72,"County of Henrico (part)",male,DelSVanValkenburg@house.virginia.gov,https://www.vanvalkenburg4va.com/,Henrico,37.61,-77.48,vanvalkenburg,307,stvanvalkenburg,
senate,"Vogel, Jill Holtzman",2008-01-09,R,27,"Clarke County (All), Frederick County (All), Winchester City (All), Fauquier County (All), Culpeper County (Part), Loudoun County (Part), Stafford County (Part)",female,"district27@senate.virginia.gov ",http://www.votejill.com/,Winchester,39.1858,-78.1623,vogel,79,jhvogel,CC-12-00051
house,"Wachsmann, Otto",2022-01-12,R,75,"Counties of Brunswick, Dinwiddie (part), Greensville, Isle of Wight (part), Lunenburg (part), Southampton (part), Surry (part), and Sussex (part); Cities of Emporia and Franklin (part)",male,DelOWachsmann@house.virginia.gov,https://www.ottowachsmann.com/,Sussex,-77.24,36.94,wachsmann,347,howachsmann,
house,"Walker, Wendell",2020-01-08,R,23,"Counties of Amherst (part) and Bedford (part); City of Lynchburg (part)",male,DelWWalker@house.virginia.gov,https://www.walker4delegate.com/,Lynchburg,37.4,-79.15,walker,325,wswalker,CC-19-00596
house,"Wampler, Will",2020-01-08,R,15,"Amherst County (Part), Appomattox County (All), Brunswick County (Part), Buckingham County (Part), Charlotte County (All), Cumberland County (Part), Fluvanna County (All), Halifax County (All), Lunenberg County (Part); Mecklenburg County (All); Prince Edward County (All)",male,DelWWampler@house.virginia.gov,https://www.wamplerfordelegate.com/,Abingdon,36.71,-81.97,wampler,326,wcwampler3,CC-19-00466
house,"Ward, Jeion",2004-01-01,D,92,"City of Hampton (part)",female,DelJWard@house.virginia.gov,http://www.jeionward.com/,Hampton,37.0516,-76.4087,ward,173,jaward,CC-12-00584
house,"Ware, Lee",1998-01-01,R,65,"Counties of Chesterfield (part), Fluvanna (part), Goochland (part), and Powhatan",male,DelLWare@house.virginia.gov,http://www.delegateleeware.net/,Powhatan,37.5416,-77.9189,"ware, r.l.",124,rlware,CC-12-00978
house,"Watts, Vivian",1996-01-01,D,39,"County of Fairfax (part)",female,DelVWatts@house.virginia.gov,http://www.vivianwatts.com/,Annandale,38.8315,-77.2478,watts,108,vewatts,CC-12-01081
house,"Webert, Michael",2012-01-11,R,18,"Counties of Culpeper (part), Fauquier (part), Rappahannock, and Warren (part)",male,DelMWebert@house.virginia.gov,http://www.michaelwebert.com/,Marshall,38.83,-77.89,webert,247,mjwebert,CC-12-00944
house,"Wiley, Bill",2020-11-19,R,29,"Counties of Frederick (part) and Warren (part); City of Winchester",male,DelBWiley@house.virginia.gov,https://www.electbillwiley.com/,Winchester,-78.17,39.17,wiley,329,wdwiley,
house,"Willett, Rodney",2020-01-08,D,73,"County of Henrico (part)",male,DelRWillett@house.virginia.gov,https://www.rodwillett.com/,Henrico,37.62,-77.61,willett,327,rtwillett,CC-19-00477
house,"Williams, Wren ",2022-01-12,D,9,"Counties of Patrick, Franklin (part) and Henry (part)",male,delwwilliams@house.virginia.gov,https://wrenwilliamsva.com/,Stuart,-80.27,36.64,williams,348,wmwilliams,
house,"Wilt, Tony",2010-06-24,R,26,"County of Rockingham (part); City of Harrisonburg",male,DelTWilt@house.virginia.gov,http://www.delegatewilt.com/,Harrisonburg,38.4514,-78.8691,wilt,231,aowilt,CC-12-00173
house,"Wright, Tommy",2001-01-01,R,61,"Counties of Amelia, Cumberland, Lunenburg (part), Mecklenburg, and Nottoway",male,DelTWright@house.virginia.gov,,Victoria,36.9945,-78.2271,wright,136,tcwright,CC-12-00286
house,"Wyatt, Scott",2019-11-17,R,97,"Counties of Hanover (part), King William (part), and New Kent",male,DelSWyatt@house.virginia.gov,https://votescottwyatt.com/,Mechanicsville,37.6,-77.36,wyatt,328,sawyatt,CC-19-00177
